canonical,name,uei,recipient_id,code,amount_fy,ticker
SOFTWARE INFORMATION RESOURCE,SOFTWARE INFORMATION RESOURCE CORP.,EJJMMJHYDFH6,2a71ed51-39c8-082f-31a0-f31d55a0a651-C,938265865,189939691.17,
SCIENCE AND APPLICATIONS,"SCIENCE SYSTEMS AND APPLICATIONS, INC.",PJ2SP76D3HJ3,58f27a06-8b13-db66-44e8-66fff87b6bb7-C,087694808,189724626.77,
TEKSYNAP,TEKSYNAP CORPORATION,C2T2JWN1D2K4,bf8c69f8-88f5-8c87-a3f1-229dde3c0af4-C,827860300,184947631.58,
HAMILTON SUNDSTRAND,HAMILTON SUNDSTRAND CORPORATION,JC42EBJ5NFJ1,464a5b15-000e-8668-246a-c4067a6f0452-C,071767334,184794046.50,
BAE SPACE MISSION,BAE SYSTEMS SPACE & MISSION SYSTEMS INC.,C8ZLJ61YJ528,f414ac71-05ca-f93c-6efa-a79cbe0dcfcd-C,926451519,184501735.47,
UTAH STATE UNIVERSITY SPACE DYNAMICS LABORATORY,UTAH STATE UNIVERSITY SPACE DYNAMICS LABORATORY,Z3KMZ212SL85,d40557c2-6876-05d9-0860-a0e72d4483ab-C,097760433,184283813.32,
AMERICAN,AMERICAN SYSTEMS CORPORATION,CFWRL5LXXX93,64f84c6a-3ec2-0244-a2e5-bcc7e4a5a2ca-C,077799799,183264925.05,
COLOSSAL CONTRACTING,COLOSSAL CONTRACTING LLC,F4M9NB1HD785,decd8e4d-0c57-0c5c-0a05-c76dce02e356-C,831720946,181932238.74,
PHILIPS,PHILIPS NORTH AMERICA LLC,T41NB3MDAPZ6,e7ca1519-17c6-3176-c3cf-cbe3b37f1f77-C,079503890,181720361.51,
SPATIAL FRONT,SPATIAL FRONT INC,J1ADW6BL8MN5,f702b7a6-2200-5cd4-c840-cdab470fcb25-C,833175917,180987879.98,
RED RIVER TECHNOLOGY,RED RIVER TECHNOLOGY LLC,JT4PZH4BX5T9,b8289dc0-984f-6d16-9d31-0ac8ab3f63ec-C,933678708,180424363.52,
KELLY,"KELLY SERVICES, INC.",Y3FCQR7FW2E1,3b892078-df85-fd93-42ad-7c86d68bc7e4-C,006958318,178906155.01,
SRC,SRC INC,DC9UXK381JR5,bc09d110-a50a-c7bc-8773-5d72392c4c2c-C,063053771,175729527.54,
GENERAL MOTORS,GENERAL MOTORS LLC,DG8EN42LYHL6,2a839246-22d5-baf9-2c2f-aa4b3b9dc37f-C,013372573,171873623.00,GM
ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY,"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.",W1NBN156CYF9,bc396b9b-bdab-f7b7-b1a8-1409da07fdc0-C,101460871,170643552.98,
PAE GOVERNMENT,"PAE GOVERNMENT SERVICES, INC.",JENBF1KKWZ93,fd602973-d119-7ced-a3e7-11ecee5a9318-C,809790017,168455322.12,
CREATIVE IT,"CREATIVE IT SOLUTIONS, LLC",DSHBDPKJC569,c433e797-379b-f44f-fe65-f227f90e6a99-C,079414233,167385220.60,
REI,"REI SYSTEMS, INC.",YRNMVN96JC17,2e7503c5-6983-7a2c-e936-7f5f9567445a-C,608999520,166326617.11,
GOVCIO,"GOVCIO, LLC",D84JK2RNL7V4,0eac385c-8f65-cdfa-5f38-e31678aede60-C,965479863,165574594.40,
